len,mismatches,side_a,from_a,side_b,from_b,text_a,text_b
5,0,Er,Er02@36,Er,Er06@29,040-040-300.028x-004-022,040-040-300.028x-004.430-022.380y
5,0,Er,Er02@37,Er,Er03@11,040-300.028x-004-022-203s,040-300.028x-004.430y-022.380y-203s
5,0,Ev,Ev04@4,Na,Na03@2,001.061?-380.001-280-001-280,001-380.001.052-280?-001-280?
5,0,Ev,Ev06@9,Hv,Hv12@34,004-522fy-700-600-059f,004-522y-700-600-059f
5,0,Ev,Ev06@9,Ra,Ra05@10,004-522fy-700-600-059f,004-522-700-600-059f
5,0,Gr,Gr03@1,Kr,Kr03@17,470-001t-430-580c-380.001.003,470-001t-430-580c-380.001.003
5,0,Gr,Gr06@19,Kv,Kv03@9,380.001.003-005-066-380.001.003-290.001,380.001.003-005-066-380.001.003-290
5,0,Gr,Gr07@3,Kv,Kv04@7,380.001.003-162-522f-050f-002,380.001.003-162-522-050-002.450
5,0,Gr,Gr07@20,Gr,Gr08@5,098-007-059f-002.109-022f.291,098-007-059f-002-022
5,0,Gr,Gr08@10,Gr,Gr08@16,124-001-124-098-007,124-001-124-098-007
5,0,Hr,Hr01@2,Ra,Ra05@25,755a-050.010-005-002g?-001a,755-050-005-002?-001?
5,0,Hr,Hr02@54,Qr,Qr02@24,700-671a-020-084a.003a-200.001,700!-671!-020?-084.003a-200.001.360.001
5,0,Hr,Hr03@11,Qr,Qr02@40,140a-004a.004ay.206-558a-065.003a-200.004,140-004.004-558b-065.003a-200.004
5,0,Hr,Hr04@34,Qr,Qr04@13,001.006.109a-050-755a-001.063-013.006,001.006.711d-050d-755a-001.063-013.006
5,0,Hr,Hr05@0,Pr,Pr04@48,060a.055a-588a-060a-001.069-060a.069,060b.055ay-588-060a-001-060a
5,0,Hr,Hr05@45,Pr,Pr05@29,066y.009.549-066y.006.549-554-015a-022bfy,066.009-066.006-554-015a-022f
5,0,Hr,Hr09@2,Qr,Qr08@29,624-001.010-001.010-007-093j,624-001.074x-001.074x-007-093j
5,0,Hr,Hr09@31,Pr,Pr09@2,002a-755a-047-200-372,002a!-755a-047-200!-372
5,0,Hr,Hr09@32,Qr,Qr09@29,755a-047-200-372-020a.006y,755a!-047!-200!-372!-020a.006
5,0,Hr,Hr11@18,Qv,Qv02@21,091k-044ax-773d-430c-430,091-044ax-773d-430c-430?
5,0,Hv,Hv01@24,Qv,Qv04@13,600-027-700-011-078y.308,600-027-700-011-078y.308.034!
5,0,Hv,Hv02@4,Pv,Pv04@16,256c-006.549-308-034d-216s,256b-006-308-034c-216s
5,0,Hv,Hv02@42,Qv,Qv05@26,067.010-260-067.010-067.010h.107-008,067.010-260-067.010-067.010.062-008
5,0,Hv,Hv04@17,Qv,Qv07@7,700cx-081-589-031c-571,700cx-081-589-031d-571c
5,0,Hv,Hv06@22,Pv,Pv08@2,022.052-002a.010-002a.010-144f-700x,022.052-002a.010-002a.010-144f-700x
5,0,Hv,Hv07@2,Pv,Pv08@37,077b-570a-055b-045-280,077cy-570-055-045-280e
5,0,Pr,Pr04@21,Qr,Qr04@13,001.006.109a-050-755a-001.063-013b.006,001.006.711d-050d-755a-001.063-013.006
5,0,Pr,Pr05@20,Qr,Qr05@27,065-065.003ax-066a.095aj-066a.003ax-066a.049f.066a,065.022t-065.003ax-066y.095.711b-066a.003ax!-066a.048f
5,0,Pr,Pr05@29,Qr,Qr05@37,066.009-066.006-554-015a-022f,066y.009s-066y.006-554b-015a-022cf
5,0,Pr,Pr09@12,Qr,Qr09@37,770e-060a-070a-061y.001.061-386,770g!-060a!-070-061x!.001!.061!-386!
5,0,Pv,Pv03@10,Qv,Qv03@45,060a-301-060a-040a.003a-025b.300.009ch,060a-301-060a-040c.003a-025
5,0,Pv,Pv04@46,Qv,Qv05@18,027.290-081a-050-450-060a,027!.290!-081a!-050!-450!-060a
5,0,Qr,Qr08@35,Qv,Qv03@26,028x.095j-073f-001-057c-001,028x.095j-073f-001-057c-001
5,0,Sb,Sb02@8,Sb,Sb02@17,081-004-660x-081-004,081-004-660x-081-004
5,0,Sb,Sb02@8,Sb,Sb02@20,081-004-660x-081-004,081-004-660x-081-004
5,0,Sb,Sb02@23,Sb,Sb02@29,081-004-007-081-004,081-004-007-081-004
