matched_units,runs,side_a,from_a,to_a,side_b,from_b,to_b
7,1,Ca,Ca10@21,Ca10@27,Ca,Ca11@3,Ca11@9
7,1,Ca,Ca11@3,Ca11@9,Ca,Ca11@14,Ca11@20
7,1,Ca,Ca11@13,Ca11@19,Ca,Ca11@31,Ca12@4
7,1,Hv,Hv04@38,Hv04@44,Qv,Qv07@28,Qv07@34
7,1,Er,Er02@7,Er02@13,Er,Er02@21,Er02@27
7,1,Ab,Ab01@41,Ab01@47,Ab,Ab01@52,Ab01@58
7,1,Hr,Hr12@6,Hr12@12,Pv,Pv01@24,Pv02@5
6,1,Hr,Hr01@8,Hr01@13,Pr,Pr01@6,Pr01@11
6,1,Hr,Hr02@17,Hr02@22,Pr,Pr02@10,Pr02@15
6,1,Hr,Hr10@12,Hr10@17,Pr,Pr09@27,Pr09@32
6,1,Hr,Hr01@22,Hr01@27,Qr,Qr01@4,Qr01@9
6,1,Gr,Gr01@4,Gr01@9,Kr,Kr01@2,Kr01@7
6,1,Hv,Hv01@24,Hv01@29,Pv,Pv03@28,Pv03@33
6,1,Hv,Hv06@42,Hv06@47,Pv,Pv08@22,Pv08@27
6,1,Hv,Hv09@12,Hv09@17,Pv,Pv10@24,Pv10@29
6,1,Ca,Ca07@5,Ca07@10,Ca,Ca07@14,Ca07@19
6,1,Ca,Ca07@14,Ca07@19,Ca,Ca08@2,Ca08@7
6,1,Ca,Ca07@14,Ca07@19,Ca,Ca08@21,Ca08@26
6,1,Ca,Ca11@3,Ca11@8,Ca,Ca11@32,Ca12@4
6,1,Pr,Pr01@21,Pr01@26,Qr,Qr01@4,Qr01@9
6,1,Er,Er01@28,Er02@0,Er,Er02@36,Er03@0
6,1,Er,Er01@28,Er02@0,Er,Er03@28,Er03@33
6,1,Er,Er02@36,Er03@0,Er,Er03@10,Er03@15
6,1,Er,Er02@36,Er03@0,Er,Er03@28,Er03@33
6,1,Er,Er03@10,Er03@15,Er,Er03@28,Er03@33
5,1,Hr,Hr05@0,Hr05@4,Pr,Pr04@48,Pr04@52
5,1,Hr,Hr05@45,Hr05@49,Pr,Pr05@29,Pr05@33
5,1,Hr,Hr09@31,Hr09@35,Pr,Pr09@2,Pr09@6
5,1,Pv,Pv03@10,Pv03@14,Qv,Qv03@45,Qv03@49
5,1,Pv,Pv06@42,Pv06@46,Qv,Qv07@32,Qv07@36
5,1,Hr,Hr04@34,Hr04@38,Qr,Qr04@13,Qr04@17
5,1,Hr,Hr09@2,Hr09@6,Qr,Qr08@29,Qr08@33
5,1,Hr,Hr09@32,Hr09@36,Qr,Qr09@29,Qr09@33
5,1,Hv,Hv07@2,Hv07@6,Pv,Pv08@37,Pv08@41
5,1,Ca,Ca06@20,Ca06@24,Ca,Ca08@5,Ca08@9
5,1,Ca,Ca07@6,Ca07@10,Ca,Ca08@11,Ca08@15
5,1,Ca,Ca07@15,Ca07@19,Ca,Ca08@11,Ca08@15
5,1,Ca,Ca08@3,Ca08@7,Ca,Ca08@11,Ca08@15
5,1,Ca,Ca08@11,Ca08@15,Ca,Ca08@22,Ca08@26
5,1,Ca,Ca10@7,Ca10@11,Ca,Ca10@22,Ca10@26
5,1,Ca,Ca10@7,Ca10@11,Ca,Ca11@4,Ca11@8
5,1,Ca,Ca10@7,Ca10@11,Ca,Ca11@15,Ca11@19
5,1,Ca,Ca10@7,Ca10@11,Ca,Ca12@0,Ca12@4
5,1,Ca,Ca10@14,Ca10@18,Ca,Ca10@21,Ca10@25
5,1,Ca,Ca10@14,Ca10@18,Ca,Ca11@3,Ca11@7
5,1,Ca,Ca10@14,Ca10@18,Ca,Ca11@14,Ca11@18
5,1,Ca,Ca10@14,Ca10@18,Ca,Ca11@32,Ca12@3
5,1,Pr,Pr04@21,Pr04@25,Qr,Qr04@13,Qr04@17
5,1,Pr,Pr04@54,Pr04@58,Qr,Qr04@39,Qr04@43
5,1,Pr,Pr05@20,Pr05@24,Qr,Qr05@27,Qr05@31
5,1,Pr,Pr05@29,Pr05@33,Qr,Qr05@37,Qr05@41
5,1,Pr,Pr09@12,Pr09@16,Qr,Qr09@37,Qr09@41
5,1,Gr,Gr07@20,Gr07@24,Gr,Gr08@5,Gr08@9
5,1,Gr,Gr08@10,Gr08@14,Gr,Gr08@16,Gr08@20
5,1,Hv,Hv01@24,Hv01@28,Qv,Qv04@13,Qv04@17
5,1,Hv,Hv02@42,Hv02@46,Qv,Qv05@26,Qv05@30
5,1,Hv,Hv04@17,Hv04@21,Qv,Qv07@7,Qv07@11
5,1,Aa,Aa07@14,Aa07@18,Aa,Aa07@45,Aa07@49
5,1,Aa,Aa07@56,Aa07@60,Aa,Aa07@68,Aa07@72
5,1,Er,Er01@10,Er01@14,Er,Er04@1,Er04@5
5,1,Er,Er01@28,Er01@32,Er,Er06@29,Er06@33
5,1,Er,Er01@29,Er02@0,Er,Er02@9,Er02@13
5,1,Er,Er01@29,Er02@0,Er,Er02@23,Er02@27
5,1,Er,Er02@9,Er02@13,Er,Er02@37,Er03@0
5,1,Er,Er02@9,Er02@13,Er,Er03@11,Er03@15
5,1,Er,Er02@9,Er02@13,Er,Er03@29,Er03@33
5,1,Er,Er02@23,Er02@27,Er,Er02@37,Er03@0
5,1,Er,Er02@23,Er02@27,Er,Er03@11,Er03@15
5,1,Er,Er02@23,Er02@27,Er,Er03@29,Er03@33
5,1,Er,Er02@36,Er02@40,Er,Er06@29,Er06@33
5,1,Er,Er03@10,Er03@14,Er,Er06@29,Er06@33
5,1,Er,Er03@28,Er03@32,Er,Er06@29,Er06@33
5,1,Ab,Ab01@55,Ab01@59,Ab,Ab01@70,Ab01@74
5,1,Br,Br04@12,Br04@16,Br,Br04@20,Br04@24
5,1,Ca,Ca06@27,Ca07@2,Hv,Hv10@23,Hv10@27
5,1,Ca,Ca14@14,Ca14@18,Ev,Ev04@4,Ev04@8
5,1,Ca,Ca14@14,Ca14@18,Na,Na03@2,Na03@6
5,1,Cb,Cb02@19,Cb02@23,Cb,Cb04@13,Cb04@17
5,1,Ev,Ev04@4,Ev04@8,Na,Na03@2,Na03@6
5,1,Ev,Ev06@9,Ev06@13,Hv,Hv12@34,Hv12@38
5,1,Ev,Ev06@9,Ev06@13,Ra,Ra05@10,Ra05@14
5,1,Hr,Hr01@2,Hr01@6,Ra,Ra05@25,Ra06@1
5,1,Hr,Hr11@18,Hr11@22,Qv,Qv02@21,Qv02@25
5,1,Qr,Qr08@35,Qr08@39,Qv,Qv03@26,Qv03@30
5,1,Sb,Sb02@23,Sb02@27,Sb,Sb02@29,Sb02@33
